FAMILIA,RESISTENCIA,TRAT.SUPERFICIAL,DIA,MES,ANO,PECA_EMPENADA/TORTA,MISTURA,OXIDACAO,TRAT.SUPERFICIAL.1,TRINCA,SEM_PROJECAO,SEM_SERRILHA,CABECA_DIMENSIONAL_MAIOR_QUE_ESPEC,CABECA_DIMENSIONAL_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CABECA,REBARBA_CABECA,SEM_CHANFRO,CHANFRO_COMPRIMENTO_MAIOR_QUE_ESPEC,CHANFRO_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CHANFRO,REBARBA_CHANFRO,CHAVE_ARREDONDADA,EXCESSO_TRATAMENTO_SUPERFICIAL_CHAVE,CHAVE_DIMENSIONAL_MAIOR_QUE_ESPEC,CHAVE_DIMENSIONAL_MENOR_ESPEC,DEFORMACAO_(BATIDA)_CHAVE,REBARBA_CHAVE,FLANGE_DIAMETRO_MAIOR_ESPEC,FLANGE_DIAMETRO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_FLANGE,FALTA_MATERIAL_FLANGE,REBARBA_FLANGE,DEFORMACAO_(BATIDA)_CORPO,FALTA_MATERIAL_CORPO,SEM_PONTA,PONTA_COMPRIMENTO_MAIOR_QUE_ESPEC,PONTA_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_PONTA,REBARBA_PONTA,SEM_RECARTILHO,RECARTILHO_CURTO,RECARTILHO_COMPRIDO,DEFORMACAO_(BATIDA)_RECARTILHO,EXCESSO_TRATAMENTO_SUPERFICIAL_ROSCA,SEM_ROSCA,FALTA_DE_FILETES_DE_ROSCA,SOBRA_DE_FILETES_DE_ROSCA,ROSCA_SOBRE_O_CORPO,ROSCA_INCLINADA,DEFORMACAO_(BATIDA)_ROSCA,OBSTRUIDA/FECHADA,FALTA_DE_MATERIAL(ARRUELA),ARRUELA_MAIOR_QUE_A_ESPECIFICACAO,ARRUELA_MENOR_QUE_A_ESPECIFICACAO,SEM_ARRUELA,QTD._MENOR_QUE_O_ESPECIFICADO,QTD._MAIOR_QUE_O_ESPECIFICADO,ARRUELA_TROCADA,ARRUELA_DEFORMADA/BATIDA,TOTAL_DEFEITOS,USINA,QTD_SELECIONADA,MAQUINA,BITOLA,COMPRIMENTO,FAMILIA_ROT,RESISTENCIA_ROT,TRAT_SUPERFICIAL_ROT,USINA_ROT,MATERIA_PRIMA,MATERIA_PRIMA_ROT,MAQUINA_ROT,LOTE_COM_PROBLEMA,TIPO_DEFEITO
PARAF SEXT,8.8,ZB CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,2088,CELULA18BF13B351,8.0,95.0,15,10,9,3,5137,10,27,0,SEM_DEFEITO
PARAF SEXT,8.8,ZB CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,2088,CELULA18BF13B351,8.0,95.0,15,10,9,3,5137,10,27,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,12500,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF SOLDA,8.8,ZB CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9937,CELULA04 CH2LA,8.0,20.0,16,10,9,3,1022,4,14,0,SEM_DEFEITO
PARAF FLANG,0R,FOSF,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,10000,CELULA 51 SP360L,9.0,96.0,7,1,4,1,PL30,18,8,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI TRANSP,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,21800,CELULA 45 SP28,6.0,32.0,2,10,12,3,1022,4,6,0,SEM_DEFEITO
PARAF ALLEN,10.9,ZP CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,5000,CELULA38 HBF-408,6.0,16.0,3,2,13,1,PL30,18,45,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,7500,CELULA35 SP27,8.0,25.0,7,10,8,2,10B33,7,43,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,9346,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,6,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,5976,CELULA 51 SP360L,8.0,45.0,7,10,5,1,PL30,18,8,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10654,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
